trip_id,trip_property_id,value
71465635,note,Does not run during school vacation
71465635,trip_type,supplemental
71465829,note,Does not run during school vacation
71465829,trip_type,supplemental
71465831,note,Does not run during school vacation
71465831,trip_type,supplemental
71465842,note,Does not run during school vacation
71465842,trip_type,supplemental
71465965,note,Waits at Nubian for last Silver Line bus
71465965,trip_type,wait
71465968,note,Waits at Nubian for last Silver Line bus
71465968,trip_type,wait
71465978,note,Does not run during school vacation
71465978,trip_type,supplemental
71466078,note,Does not run during school vacation
71466078,trip_type,supplemental
71466206,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
71466206,trip_type,wait
71466256,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
71466256,trip_type,wait
71466301,note,Does not run during school vacation
71466301,trip_type,supplemental
71466302,note,Does not run during school vacation
71466302,trip_type,supplemental
71466365,note,Does not run during school vacation
71466365,trip_type,supplemental
71466366,note,Does not run during school vacation
71466366,trip_type,supplemental
71466367,note,Does not run during school vacation
71466367,trip_type,supplemental
71466368,note,Does not run during school vacation
71466368,trip_type,supplemental
71466370,note,Does not run during school vacation
71466370,trip_type,supplemental
71466380,note,Does not run during school vacation
71466380,trip_type,supplemental
71466383,note,Does not run during school vacation
71466383,trip_type,supplemental
71466487,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
71466487,trip_type,wait
71466665,note,Does not run during school vacation
71466665,trip_type,supplemental
71466760,note,Waits at Ruggles for last Orange Line train
71466760,trip_type,wait
71466765,note,Waits at Ruggles for last Orange Line train
71466765,trip_type,wait
71466766,note,Waits at Ruggles for last Orange Line train
71466766,trip_type,wait
71466805,note,Does not run during school vacation
71466805,trip_type,supplemental
71466876,note,Does not run during school vacation
71466876,trip_type,supplemental
71467017,note,Does not run during school vacation
71467017,trip_type,supplemental
71467018,note,Does not run during school vacation
71467018,trip_type,supplemental
71467038,note,Does not run during school vacation
71467038,trip_type,supplemental
71467260,note,Waits at Andrew for last Red Line train
71467260,trip_type,wait
71467265,note,Waits at Boylston St @ Dartmouth St for last Green Line train
71467265,trip_type,wait
71467268,note,Waits at Forest Hills for last Orange Line train
71467268,trip_type,wait
71467305,note,Does not run during school vacation
71467305,trip_type,supplemental
