added_route_id,trip_id
743,71933977
741,71934041
742,71934041
743,71934041
741,71934063
742,71934063
743,71934063
741,71934064
742,71934064
743,71934064
741,71934078
742,71934078
743,71934078
741,71934100
742,71934100
743,71934100
741,71934102
742,71934102
743,71934102
741,71934152
742,71934152
743,71934152
741,71934196
742,71934196
743,71934196
741,71934198
742,71934198
743,71934198
741,71934222
742,71934222
743,71934222
741,71934224
742,71934224
743,71934224
741,71934280
742,71934280
743,71934280
741,71934281
742,71934281
743,71934281
741,71934285
742,71934285
743,71934285
741,71934345
742,71934345
743,71934345
741,71934346
742,71934346
743,71934346
741,71934353
742,71934353
743,71934353
741,71934357
742,71934357
743,71934357
741,71952713
742,71952713
743,71952713
741,71952714
742,71952714
743,71952714
741,71952715
742,71952715
743,71952715
741,71952716
742,71952716
743,71952716
741,71952718
742,71952718
743,71952718
741,71952719
742,71952719
743,71952719
741,71952724
742,71952724
743,71952724
741,71952726
742,71952726
743,71952726
741,71952727
742,71952727
743,71952727
741,71952734
742,71952734
743,71952734
741,71952747
742,71952747
743,71952747
741,72047600
742,72047600
743,72047600
741,72047603
742,72047603
743,72047603
741,72047609
742,72047609
743,72047609
741,72048125
742,72048125
743,72048125
741,72048172
742,72048172
743,72048172
741,72048274
742,72048274
743,72048274
741,72048324
742,72048324
743,72048324
741,72048336
742,72048336
743,72048336
741,72048362
742,72048362
743,72048362
741,72048396
742,72048396
743,72048396
741,72048460
742,72048460
743,72048460
741,72048520
742,72048520
743,72048520
741,72048563
742,72048563
743,72048563
741,72048566
742,72048566
743,72048566
741,72048567
742,72048567
743,72048567
741,72048569
742,72048569
743,72048569
741,72048570
742,72048570
743,72048570
741,72048571
742,72048571
743,72048571
741,72048572
742,72048572
743,72048572
741,72048577
742,72048577
743,72048577
741,72048578
742,72048578
743,72048578
741,72048581
742,72048581
743,72048581
741,72048582
742,72048582
743,72048582
741,72048587
742,72048587
743,72048587
741,72048588
742,72048588
743,72048588
741,72048589
742,72048589
743,72048589
741,72048590
742,72048590
743,72048590
741,72048591
742,72048591
743,72048591
741,72048593
742,72048593
743,72048593
741,72048597
742,72048597
743,72048597
741,72048600
742,72048600
743,72048600
741,72048601
742,72048601
743,72048601
741,72048602
742,72048602
743,72048602
741,72048603
742,72048603
743,72048603
741,72048605
742,72048605
743,72048605
741,72048611
742,72048611
743,72048611
741,72048612
742,72048612
743,72048612
741,72048897
742,72048897
743,72048897
741,72048974
742,72048974
743,72048974
741,72049390
742,72049390
743,72049390
741,72049391
742,72049391
743,72049391
741,72049392
742,72049392
743,72049392
741,72049394
742,72049394
743,72049394
741,72049396
742,72049396
743,72049396
741,72049397
742,72049397
743,72049397
741,72049398
742,72049398
743,72049398
741,72049401
742,72049401
743,72049401
741,72049406
742,72049406
743,72049406
741,72049407
742,72049407
743,72049407
741,72049413
742,72049413
743,72049413
741,72049416
742,72049416
743,72049416
741,72049417
742,72049417
743,72049417
741,72016557
742,72016557
743,72016557
741,72016562
742,72016562
743,72016562
741,72016570
742,72016570
743,72016570
741,72017118
742,72017118
743,72017118
741,72017202
742,72017202
743,72017202
741,72017278
742,72017278
743,72017278
741,72017290
742,72017290
743,72017290
741,72017292
742,72017292
743,72017292
741,72017295
742,72017295
743,72017295
741,72017297
742,72017297
743,72017297
741,72017303
742,72017303
743,72017303
741,72017304
742,72017304
743,72017304
741,72017305
742,72017305
743,72017305
741,72017306
742,72017306
743,72017306
741,72017307
742,72017307
743,72017307
741,72017308
742,72017308
743,72017308
741,72017309
742,72017309
743,72017309
741,72017311
742,72017311
743,72017311
741,72017313
742,72017313
743,72017313
741,72017317
742,72017317
743,72017317
741,72017318
742,72017318
743,72017318
741,72017319
742,72017319
743,72017319
741,72017322
742,72017322
743,72017322
741,72017326
742,72017326
743,72017326
741,72017327
742,72017327
743,72017327
741,72017328
742,72017328
743,72017328
741,72017330
742,72017330
743,72017330
741,72017332
742,72017332
743,72017332
741,72017337
742,72017337
743,72017337
741,72017340
742,72017340
743,72017340
741,72017341
742,72017341
743,72017341
741,72017342
742,72017342
743,72017342
741,72017343
742,72017343
743,72017343
741,72017863
742,72017863
743,72017863
741,72017985
742,72017985
743,72017985
741,72017993
742,72017993
743,72017993
741,72017998
742,72017998
743,72017998
741,72018029
742,72018029
743,72018029
741,72022315
742,72022315
743,72022315
741,72022316
742,72022316
743,72022316
741,72022317
742,72022317
743,72022317
741,72022318
742,72022318
743,72022318
741,72022320
742,72022320
743,72022320
741,72022333
742,72022333
743,72022333
741,72022335
742,72022335
743,72022335
741,72022336
742,72022336
743,72022336
741,72022338
742,72022338
743,72022338
741,72022339
742,72022339
743,72022339
741,72022343
742,72022343
743,72022343
741,71942354
742,71942354
743,71942354
741,71942384
742,71942384
743,71942384
741,71942434
742,71942434
743,71942434
741,71942448
742,71942448
743,71942448
741,71943092
742,71943092
743,71943092
741,71943180
742,71943180
743,71943180
741,71943182
742,71943182
743,71943182
741,71943183
742,71943183
743,71943183
741,71943185
742,71943185
743,71943185
741,71943186
742,71943186
743,71943186
741,71943187
742,71943187
743,71943187
741,71943189
742,71943189
743,71943189
741,71943191
742,71943191
743,71943191
741,71943192
742,71943192
743,71943192
741,71943197
742,71943197
743,71943197
741,71943198
742,71943198
743,71943198
741,71943199
742,71943199
743,71943199
741,71943200
742,71943200
743,71943200
741,71943201
742,71943201
743,71943201
741,71943203
742,71943203
743,71943203
741,71943206
742,71943206
743,71943206
741,71943208
742,71943208
743,71943208
741,71943209
742,71943209
743,71943209
741,71943211
742,71943211
743,71943211
741,71943216
742,71943216
743,71943216
741,71943218
742,71943218
743,71943218
741,71943220
742,71943220
743,71943220
741,71943221
742,71943221
743,71943221
741,71943223
742,71943223
743,71943223
741,71943224
742,71943224
743,71943224
741,71943226
742,71943226
743,71943226
741,71943229
742,71943229
743,71943229
741,71943314
742,71943314
743,71943314
741,71943319
742,71943319
743,71943319
741,71954035
742,71954035
743,71954035
741,71954036
742,71954036
743,71954036
741,71954040
742,71954040
743,71954040
741,71954042
742,71954042
743,71954042
741,71954043
742,71954043
743,71954043
741,71954045
742,71954045
743,71954045
741,71954056
742,71954056
743,71954056
741,71954057
742,71954057
743,71954057
741,71954058
742,71954058
743,71954058
741,71954059
742,71954059
743,71954059
741,71954060
742,71954060
743,71954060
741,71954062
742,71954062
743,71954062
741,71954063
742,71954063
743,71954063
741,71944165
742,71944165
743,71944165
741,71944167
742,71944167
743,71944167
741,71944563
742,71944563
743,71944563
741,71944586
742,71944586
743,71944586
741,71944590
742,71944590
743,71944590
741,71944594
742,71944594
743,71944594
741,71944595
742,71944595
743,71944595
741,71944597
742,71944597
743,71944597
741,71944599
742,71944599
743,71944599
741,71944601
742,71944601
743,71944601
741,71944602
742,71944602
743,71944602
741,71944606
742,71944606
743,71944606
741,71944607
742,71944607
743,71944607
741,71944612
742,71944612
743,71944612
741,71944613
742,71944613
743,71944613
741,71944614
742,71944614
743,71944614
741,71944616
742,71944616
743,71944616
741,71944618
742,71944618
743,71944618
741,71944620
742,71944620
743,71944620
741,71944621
742,71944621
743,71944621
741,71944624
742,71944624
743,71944624
741,71944633
742,71944633
743,71944633
741,71944636
742,71944636
743,71944636
741,71944645
742,71944645
743,71944645
741,71944647
742,71944647
743,71944647
741,71944652
742,71944652
743,71944652
741,71944713
742,71944713
743,71944713
741,71944714
742,71944714
743,71944714
741,71944725
742,71944725
743,71944725
741,71944733
742,71944733
743,71944733
741,71944734
742,71944734
743,71944734
741,71944800
742,71944800
743,71944800
741,71944801
742,71944801
743,71944801
741,71944813
742,71944813
743,71944813
741,71944816
742,71944816
743,71944816
741,71944824
742,71944824
743,71944824
741,71944874
742,71944874
743,71944874
741,71944877
742,71944877
743,71944877
741,71944923
742,71944923
743,71944923
741,71945125
742,71945125
743,71945125
741,71945126
742,71945126
743,71945126
741,71954130
742,71954130
743,71954130
741,71954156
742,71954156
743,71954156
741,71954165
742,71954165
743,71954165
741,71954168
742,71954168
743,71954168
741,71954171
742,71954171
743,71954171
741,71954178
742,71954178
743,71954178
741,71954350
742,71954350
743,71954350
741,71954351
742,71954351
743,71954351
741,71954363
742,71954363
743,71954363
741,71954380
742,71954380
743,71954380
741,71954381
742,71954381
743,71954381
741,71954386
742,71954386
743,71954386
741,71954441
742,71954441
743,71954441
741,72039743
742,72039743
743,72039743
741,72039788
742,72039788
743,72039788
741,72039897
742,72039897
743,72039897
741,72039907
742,72039907
743,72039907
741,72039958
742,72039958
743,72039958
741,72039981
742,72039981
743,72039981
741,72039989
742,72039989
743,72039989
741,72040250
742,72040250
743,72040250
741,72040252
742,72040252
743,72040252
741,72040253
742,72040253
743,72040253
741,72040273
742,72040273
743,72040273
741,72040275
742,72040275
743,72040275
741,72040327
742,72040327
743,72040327
741,72040337
742,72040337
743,72040337
741,72040397
742,72040397
743,72040397
741,72040398
742,72040398
743,72040398
741,72040400
742,72040400
743,72040400
741,72040402
742,72040402
743,72040402
741,72040510
742,72040510
743,72040510
741,72040512
742,72040512
743,72040512
741,72040524
742,72040524
743,72040524
741,72040542
742,72040542
743,72040542
741,72040596
742,72040596
743,72040596
741,72040623
742,72040623
743,72040623
741,72040624
742,72040624
743,72040624
741,72040626
742,72040626
743,72040626
741,72040628
742,72040628
743,72040628
741,72040632
742,72040632
743,72040632
741,72040633
742,72040633
743,72040633
741,72040636
742,72040636
743,72040636
741,72040637
742,72040637
743,72040637
741,72040640
742,72040640
743,72040640
741,72040642
742,72040642
743,72040642
741,72041003
742,72041003
743,72041003
741,72041012
742,72041012
743,72041012
741,72041102
742,72041102
743,72041102
741,72041119
742,72041119
743,72041119
741,72041186
742,72041186
743,72041186
741,72041506
742,72041506
743,72041506
741,72041507
742,72041507
743,72041507
741,72041508
742,72041508
743,72041508
741,72041513
742,72041513
743,72041513
741,72041514
742,72041514
743,72041514
741,72041517
742,72041517
743,72041517
741,72041522
742,72041522
743,72041522
